Temperature,Partition Function
10.0,1.1693164536949109e+179
20.0,4.557169605956373e+177
30.0,3.147908743050828e+177
40.0,3.696464811439224e+177
50.0,4.993893161051868e+177
60.0,6.98512892411799e+177
70.0,9.768864457952423e+177
80.0,1.349229303043098e+178
90.0,1.8328958521006468e+178
100.0,2.4471954587709537e+178
110.0,3.2131178309019036e+178
120.0,4.153193171385958e+178
130.0,5.2914053532427095e+178
140.0,6.653129022143876e+178
150.0,8.265078909565872e+178
160.0,1.0155266146828794e+179
170.0,1.2352959061288548e+179
180.0,1.4888647141869138e+179
190.0,1.7794007438726804e+179
200.0,2.1101872954704712e+179
210.0,2.4846202742501824e+179
220.0,2.906205350899486e+179
230.0,3.378555257959981e+179
240.0,3.9053872107352705e+179
250.0,4.490520443207931e+179
260.0,5.137873850920094e+179
270.0,5.851463733794802e+179
280.0,6.635401632647196e+179
290.0,7.493892253743538e+179
300.0,8.431231476263446e+179
310.0,9.451804437940219e+179
320.0,1.0560083694516383e+180
330.0,1.176062744897144e+180
340.0,1.3058077846763967e+180
350.0,1.4457159333589178e+180
360.0,1.5962677072388361e+180
370.0,1.7579515416562746e+180
380.0,1.9312636436542848e+180
390.0,2.1167078497047697e+180
400.0,2.3147954882537553e+180
410.0,2.526045246852011e+180
420.0,2.7509830436514964e+180
430.0,2.9901419030615573e+180
440.0,3.2440618353711763e+180
450.0,3.51328972015514e+180
460.0,3.798379193292656e+180
470.0,4.0998905374369553e+180
480.0,4.41839057578356e+180
490.0,4.7544525689936225e+180
500.0,5.108656115136583e+180
510.0,5.48158705252413e+180
520.0,5.873837365314158e+180
530.0,6.286005091770103e+180
540.0,6.718694235067119e+180
550.0,7.172514676542221e+180
560.0,7.648082091290989e+180
570.0,8.146017866018246e+180
580.0,8.66694901905511e+180
590.0,9.211508122458959e+180
600.0,9.7803332261173e+180
610.0,1.0374067783780176e+181
620.0,1.099336058094955e+181
630.0,1.1638865664557646e+181
640.0,1.2311242274369296e+181
650.0,1.3011154776046628e+181
660.0,1.3739272595817004e+181
670.0,1.44962701566884e+181
680.0,1.5282826816158287e+181
690.0,1.6099626805364992e+181
700.0,1.6947359169632967e+181
710.0,1.7826717710364717e+181
720.0,1.8738400928235313e+181
730.0,1.9683111967646473e+181
740.0,2.0661558562399377e+181
750.0,2.1674452982547128e+181
760.0,2.272251198238973e+181
770.0,2.380645674957477e+181
780.0,2.49270128552704e+181
790.0,2.608491020537698e+181
800.0,2.7280882992745783e+181
810.0,2.851566965037437e+181
820.0,2.9790012805549403e+181
830.0,3.110465923490886e+181
840.0,3.246035982039668e+181
850.0,3.385786950608342e+181
860.0,3.529794725582906e+181
870.0,3.678135601176221e+181
880.0,3.830886265355465e+181
890.0,3.988123795846718e+181
900.0,4.1499256562146034e+181
910.0,4.316369692014957e+181
920.0,4.487534127018464e+181
930.0,4.663497559503339e+181
940.0,4.844338958615301e+181
950.0,5.030137660792907e+181
960.0,5.2209733662566145e+181
970.0,5.416926135559943e+181
980.0,5.618076386200925e+181
990.0,5.824504889292598e+181
1000.0,6.036292766290766e+181
